@relation InstanceResultListener

@attribute Key_Dataset {vote,iris}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.BayesNet}
@attribute Key_Scheme_options {'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5'}
@attribute Key_Scheme_version_ID {746037443258775954}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric

@data

vote,1,1,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,391,44,40,4,0,90.909091,9.090909,0,0.812367,0.089992,0.287678,18.975103,59.08176,42.346182,39.764095,2.582087,0.962413,0.903729,0.058684,34.11964,0.775446,3544.225948,0.888889,24,0.058824,1,0.941176,16,0.111111,3,0.96,0.888889,0.923077,0.973856,0.909091,0.079026,0.920974,0.090909,0.91445,0.909091,0.909868,0.973856,0.012,0.001,0.011674,0.000785,76664,68882,11627,?,0,0,0,0,-3443.817486,-3471.303893,-3481.084829,-3415.601155,-3382.601155
vote,1,2,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,391,44,38,6,0,86.363636,13.636364,0,0.712418,0.125225,0.343478,26.404019,70.541478,42.346182,55.497294,-13.151112,0.962413,1.261302,-0.298889,30.821457,0.700488,3201.622515,0.888889,24,0.176471,3,0.823529,14,0.111111,3,0.888889,0.888889,0.888889,0.958606,0.863636,0.151218,0.848782,0.136364,0.863636,0.863636,0.863636,0.958606,0.053,0.004,0.042084,0.002899,76664,68882,11627,?,0,0,0,0,-3428.196788,-3455.683195,-3465.608051,-3400.124376,-3367.124376
vote,1,3,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,391,44,39,5,0,88.636364,11.363636,0,0.767932,0.107848,0.306805,22.740087,63.009955,42.346182,36.675266,5.670916,0.962413,0.833529,0.128884,32.519224,0.739073,3377.980514,0.851852,23,0.058824,1,0.941176,16,0.148148,4,0.958333,0.851852,0.901961,0.971678,0.886364,0.093335,0.906665,0.113636,0.897159,0.886364,0.887628,0.971678,0.015,0.001,0.014149,0.001603,76664,68882,11627,?,0,0,0,0,-3418.786887,-3446.273294,-3455.844317,-3390.360642,-3357.360642
vote,1,4,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,391,44,39,5,0,88.636364,11.363636,0,0.757709,0.115714,0.323925,24.398671,66.525804,42.346182,24.351399,17.994783,0.962413,0.553441,0.408972,31.80761,0.7229,3304.060542,0.925926,25,0.176471,3,0.823529,14,0.074074,2,0.892857,0.925926,0.909091,0.978214,0.886364,0.136908,0.863092,0.113636,0.885958,0.886364,0.885675,0.978214,0.012,0.002,0.012003,0.00163,76664,68882,11627,?,0,0,0,0,-3437.049508,-3464.535915,-3474.102781,-3408.619106,-3375.619106
vote,1,5,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,391,44,38,6,0,86.363636,13.636364,0,0.724426,0.155838,0.376489,32.858743,77.321094,42.346182,63.611205,-21.265022,0.962413,1.445709,-0.483296,28.269115,0.64248,2936.494368,0.814815,22,0.058824,1,0.941176,16,0.185185,5,0.956522,0.814815,0.88,0.923747,0.863636,0.107645,0.892355,0.136364,0.881329,0.863636,0.865359,0.923747,0.012,0.001,0.011954,0.000835,76664,68882,11627,?,0,0,0,0,-3419.381026,-3446.867433,-3456.514939,-3391.031265,-3358.031265
vote,1,6,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,392,43,40,3,0,93.023256,6.976744,0,0.852571,0.063062,0.238886,13.376775,49.393869,40.982011,24.907114,16.074897,0.95307,0.579235,0.373835,35.264447,0.820103,3659.238403,0.925926,25,0.0625,1,0.9375,15,0.074074,2,0.961538,0.925926,0.943396,0.988426,0.930233,0.066807,0.933193,0.069767,0.932074,0.930233,0.930631,0.988426,0.024,0.002,0.012866,0.001514,76829,69047,11462,?,0,0,0,0,-3464.386436,-3491.872843,-3501.053457,-3435.527637,-3402.527637
vote,1,7,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,392,43,39,4,0,90.697674,9.302326,0,0.805869,0.103649,0.300474,21.986007,62.128194,40.982011,40.151959,0.830052,0.95307,0.933766,0.019304,31.812677,0.73983,3301.063257,0.888889,24,0.0625,1,0.9375,15,0.111111,3,0.96,0.888889,0.923077,0.972222,0.906977,0.080588,0.919412,0.093023,0.912868,0.906977,0.907924,0.972222,0.012,0.001,0.012403,0.000861,76829,69047,11462,?,0,0,0,0,-3436.85283,-3464.339237,-3473.828852,-3408.303031,-3375.303031
vote,1,8,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,392,43,43,0,0,100,0,0,1,0.002819,0.015158,0.592096,3.099711,41.643016,0.182494,41.460522,0.968442,0.004244,0.964198,41.460522,0.964198,4309.705837,1,26,0,0,1,17,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.038,0,0.01131,0.000737,76829,69047,11462,?,0,0,0,0,-3481.831458,-3509.317866,-3518.503708,-3452.977887,-3419.977887
vote,1,9,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,392,43,39,4,0,90.697674,9.302326,0,0.809313,0.110405,0.308675,23.189692,63.12121,41.643016,44.623904,-2.980887,0.968442,1.037765,-0.069323,32.069448,0.745801,3333.529864,0.884615,23,0.058824,1,0.941176,16,0.115385,3,0.958333,0.884615,0.92,0.961538,0.906977,0.081185,0.918815,0.093023,0.912383,0.906977,0.9077,0.961538,0.012,0,0.011474,0.00067,76829,69047,11462,?,0,0,0,0,-3429.152058,-3456.638465,-3466.093451,-3400.567631,-3367.567631
